Address,Sold,listed for sale
5808-nw-109th-st-oklahoma-city-ok-73162,"8/22/2003 $158,000 Sold","2/19/2019 $235,000 Listed For Sale "
5324-se-134th-st-oklahoma-city-ok-73165,"07/03/2018 $451,100 Sold","09/23/2018 $579,900 Listed For Sale"
3605-n-donna-ave-bethany-ok-73008,"09/03/2009 $99,500 Sold","04/10/2020 $77,500 Listed For Sale"
17061-winding-creek-dr-newalla-ok-74857,"07/08/2021 $136,380 Sold","05/16/2021 $130,000 Listed For Sale "
NW-178th-St-Piedmont-OK-73078,,"06/10/2019 $550,000 Listed For Sale "
